id,groundStationCity,latitude,longitude,countryCode
1,Ikire,7.716667,4.233333,NGR
2,Lekki,6.4123323,4.0947395,NGR
3,Akita,39.6898802,140.342608,JPN
4,Hitachinaka,36.3961235,140.5353397,JPN
5,Otaru,43.1906806,140.9946021,JPN
6,Yamaguchi,34.2379614,131.5873845,JPN
7,Angeles,15.1389351,120.5875321,PHIL
8,"Marathon, Ontario",48.7209349,-86.371598,CAN
9,"Saguenay, Quebec",48.405959,-71.069183,CAN
10,"Sambro Creek, Nova Scotia",44.4697179,-63.6209757,CAN
11,"St Johns, Newfoundland ",56.69228425,-60.93731852,CAN
12,Caleta,18.4029938,-69.0012154,DOM
13,Santiago de los Caballeros,25.5575181,-107.3768061,DOM
14,Cabo San Lucas,22.8938884,-109.92006,MEX
15,Charcas,23.2730516,-101.1087574,MEX
16,El Marques,20.73507785,-100.2835765,MEX
17,Llano Grande,25.7518015,-108.0870075,MEX
18,Mazahua,16.6307396,-94.9470659,MEX
19,Merida,38.9174665,-6.3443977,MEX
20,Monterey,36.2231079,-121.387742,MEX
21,Peñuelas,18.05552175,-66.72063746,MEX
22,Tapachula,14.9258055,-92.32219568,MEX
23,Villahermosa,18.0018152,-92.93304015,MEX
24,Ponce,18.011564,-66.613958,PRI
25,Toa Baja,18.4426255,-66.2545652,PRI
26,"Adelanto, California",34.5827699,-117.409215,USA
27,"Anchorage, Arkansas",61.1828789,-149.9306406,USA
28,"Anderson, South Carolina",34.5258335,-82.652962,USA
29,"Angola, Indiana",41.634874,-84.99928,USA
30,"Baxley, Georgia",31.7773202,-82.3490533,USA
31,"Beekmantown, New York",44.771112,-73.492355,USA
32,"Bellingham, Washington",48.7544012,-122.478836,USA
33,"Benkelman, Nebraska",40.0491615,-101.5329443,USA
34,"Blountsville, Alabama",34.0814863,-86.5911027,USA
35,"Boca Chica, Texas",25.9922919,-97.1823793,USA
36,"Boydton, Virginia",36.6673066,-78.3882002,USA
37,"Brewster, Washington",48.0959784,-119.7806166,USA
38,"Broadview, Illinois",41.8639201,-87.8533931,USA
39,"Brunswick, Maine",43.9145244,-69.9653278,USA
40,"Butte, Montana",46.0131505,-112.536508,USA
41,"Cass County, North Dakota",46.9241972,-97.220631,USA
42,"Charleston, Oregon",43.3400096,-124.3302401,USA
43,"Charleston, South Carolina",32.7884363,-79.9399309,USA
44,"Cheyenne, Wyoming",41.139981,-104.820246,USA
45,"Clinton, Illinois",38.5896187,-89.420064,USA
46,"Colburn, Idaho",48.3971492,-116.5351946,USA
47,"Columbus, Ohio",39.9622601,-83.0007065,USA
48,"Conrad, Montana",48.170251,-111.943019,USA
49,"Des Moines, Iowa",41.5910323,-93.6046655,USA
50,"Dumas, Texas",35.8630199,-101.9663192,USA
51,"Elbert, Colorado",39.3138822,-104.0868973,USA
52,"Elkton, Maryland",39.6065073,-75.8330934,USA
53,"Evanston, Wyoming",41.2682462,-110.963758,USA
54,"Fairbanks, Alaska",64.837845,-147.716675,USA
55,"Fort Lauderdale, Florida",26.1223084,-80.1433786,USA
56,"Frederick, Maryland",39.415779,-77.4127562,USA
57,"Gaffney, South Carolina",35.0717945,-81.6498195,USA
58,"Greenville, Pennsylvania",41.4042616,-80.3910015,USA
59,"Hamshire, Texas",29.865036,-94.31395,USA
60,"Hawthorne, California",33.9188589,-118.3483256,USA
61,"Hillman, Michigan",45.059177,-83.901106,USA
62,"Hillsboro, Texas",32.0108506,-97.1303744,USA
63,"Hitterdal, Minnesota",46.97746,-96.259228,USA
64,"Inman, Kansas",38.2320232,-97.7733326,USA
65,"Kalama, Washington",46.0085225,-122.84247,USA
66,"Kenansville, Florida",27.8764138,-80.9878408,USA
67,"Ketchikan, Alaska",55.3430696,-131.6466819,USA
68,"Kuparuk, Alaska",70.3616454,-148.9217267,USA
69,"Lawrence, Kansas",38.9719384,-95.2359496,USA
70,"Litchfield, Connecticut",41.7587013,-73.25978105,USA
71,"Lockport, New York",43.28243305,-78.7076489,USA
72,"Loring, Maine",45.0102322,-67.2063363,USA
73,"Lunenberg, Vermont",Not found,,USA
74,"Mandale, North Carolina",35.853197,-79.2730719,USA
75,"Manistique, Michigan",45.95779,-86.246419,USA
76,"Marcell, Minnesota",47.5930368,-93.6907641,USA
77,"McGregor, Texas",30.41326425,-97.88423122,USA
78,"Merrillan, Wisconsin",44.4510731,-90.8412561,USA
79,"Molokai, Hawaii",21.1344895,-157.0071539,USA
80,Tromsø,69.6516345,18.9558585,NOR
81,Wola Krobowska,51.8626869,20.9186663,PL
82,Foggia,41.50281055,15.45289961,ITA
83,Marsala,37.7979221,12.4342091,ITA
84,Milano,45.4641943,9.1896346,ITA
85,Wola Krobowska,51.8626869,20.9186663,PL
86,Alfouvar de Cima,38.8675064,-9.2844217,POR
87,Lepe,37.2551712,-7.201556,ESP
88,Villarejo de Salvanes,40.1683582,-3.2738764,ESP
89,Ibi,38.623288,-0.5730513,ESP
90,Chalfont Grove,54.8867879,-1.4562017,UK
91,Goonhilly,51.65401575,-0.5231512835,UK
92,Isle of Man,54.1936805,-4.5591148,UK
93,Woodwalton,52.4138762,-0.2108421,UK
94,Murayjat,35.8832995,37.3657706,OMN
95,Muallim,3.8333333,101.5,TUR
96,Bogantungan,-23.6477813,147.2902378,AUS
97,Boorowa,-34.4385643,148.7188286,AUS
98,Broken Hill,-31.965,141.4511111,AUS
99,Bulla Bulling,Not found,,AUS
100,Calrossie,-38.5001525,146.6710907,AUS
101,Canyonleigh,-34.5724354,150.1543846,AUS
102,Cataby,-30.735616,115.5385727,AUS
103,Cobargo,-36.3880083,149.8885053,AUS
104,Ki Ki,-35.5675532,139.7940805,AUS
105,Merredin,-31.4813329,118.2779117,AUS
106,Pimba ,-31.2557411,136.8037902,AUS
107,Springbrook Creek,45.1276404,-93.2768695,AUS
108,Tea Gardens ,-32.6622727,152.155692,AUS
109,Toonpan,-19.5038905,146.8704226,AUS
110,Torrumbarry ,-36.0276025,144.5170052,AUS
111,Wagin,-33.2779075,117.3788569,AUS
112,Warra ,-26.9317765,150.948389,AUS
113,Willows,39.5233276,-122.193531,AUS
114,Suva,-18.1415884,178.4421662,FIJ
115,Awarua,-39.6680645,176.0325971,NZL
116,Cleavdon,Not found,,NZL
117,Cromwell ,41.0398827,-94.4629813,NZL
118,Hinds,32.2506391,-90.4793259,NZL
119,Puwera,-35.7953636,174.2932892,NZL
120,Te Hana,-36.255764,174.5115567,NZL
121,Falda del Carmen,-31.5884457,-64.4584076,AGR
122,Camaçari,-12.6998188,-38.3260762,BRA
123,Guarapari,-20.6718755,-40.4984617,BRA
124,Itaboraí ,-22.7496231,-42.8557428,BRA
125,João Câmara,-5.5349637,-35.8150811,BRA
126,"Luz, ",-23.53512225,-46.63539302,BRA
127,Manaus,-3.1316333,-59.9825041,BRA
128,Montes Carlos,9.2895049,-75.3994135,BRA
129,Mossoró,-5.1904332,-37.3443872,BRA
130,Passa Quatro,-22.3893803,-44.9666039,BRA
131,Porto Alegre,-30.0324999,-51.2303767,BRA
132,Presidente Prudente,-22.1225167,-51.3882528,BRA
133,Rio Negro,-26.1047668,-49.7982766,BRA
134,Santana de Parnaíba,-23.4446715,-46.9167722,BRA
135,São Gonçalo do Amarante,-5.7932331,-35.3286312,BRA
136,Surubim,-7.8424353,-35.7539722,BRA
137,Uruguaiana,-29.7560726,-57.0867546,BRA
138,Caldera,-27.0675545,-70.8222047,CHL
139,Noviciado,40.4247733,-3.7073851,CHL
140,Puerto Montt,-41.471798,-72.9395915,CHL
141,Puerto Saavedra,-38.7875583,-73.3969617,CHL
142,Punta Arenas,-53.1625688,-70.907822,CHL
143,San Clemente,39.4037093,-2.4274052,CHL
144,Santa Elena,-15.9694573,-5.7129442,CHL
145,Willemstad,12.11000695,-68.93708506,CUR
146,Aerzen,52.0496072,9.2638158,GER
147,Frankfurt,50.1106444,8.6820917,GER
148,Ballinspittle,51.66664785,-8.596332275,IRE
149,Elfordstown,51.95397825,-8.1697917,IRE
150,Villenave d’Ornon,44.7737872,-0.5595029,FRA
151,"Mt Ayr, Indiana",40.9521946,-87.3000728,USA
152,"Murrieta, California",33.560832,-117.2106564,USA
153,"Nemaha, Nebraska",40.3837713,-95.8518344,USA
154,"New Braunfels, Texas",29.7028266,-98.1257348,USA
155,"Nome, Alaska",64.4989922,-165.3987994,USA
156,"Norcross, Georgia",33.9412127,-84.2135309,USA
157,"North Bend, Washington",47.4957757,-121.784889,USA
158,"Olympia, Washington",47.0451022,-122.8950075,USA
159,"Panaca, Nevada",37.79052,-114.389433,USA
160,"Port Matilda, Pennsylvania",40.7996651,-78.0541814,USA
161,"Prosser, Washington",46.2067583,-119.76916,USA
162,"Punta Gorda, Florida",26.9297836,-82.0453664,USA
163,"Quincy, Washington",47.2343673,-119.8535054,USA
164,"Redmond, Washington",47.6694141,-122.1238767,USA
165,"Richardson, Texas",32.9481789,-96.7297206,USA
166,"Roberts, Wisconsin",44.9838558,-92.5560301,USA
167,"Robbins, California",38.8701766,-121.7063532,USA
168,"Robertsdale, Alabama",30.5552959,-87.7109526,USA
169,"Rolette, North Dakota ",48.7419695,-99.8380336,USA
170,"Roll, Arizona",32.7517127,-113.9890993,USA
171,"Romulus, New York",42.7520803,-76.833708,USA
172,"San Antonio, Texas",29.4246002,-98.4951405,USA
173,"Sanderson, Texas",32.2536313,-96.66629371,USA
174,"Savanna, Oklahoma",34.8289851,-95.8438807,USA
175,"Savannah, Tennessee",35.2248034,-88.2492037,USA
176,"Sheffield, Illinois ",41.3584839,-89.736908,USA
177,"Slope County, North Dakota",46.4464651,-103.4507022,USA
178,"Springer, Oklahoma",34.3143393,-97.139878,USA
179,"Sullivan, Maine",44.5203554,-68.1966797,USA
