OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-1007,2019-074A,2023-06-05T03:34:41.999808,15.06403948,.0001185,53.0548,34.1312,91.5241,64.0048,0,C,44713,156,1,.20225E-2,.30214E-3,0,0.244,SpaceX-E
STARLINK-1008,2019-074B,2023-06-05T03:05:41.999712,15.06403150,.0001157,53.0543,34.2271,86.2703,74.8583,0,C,44714,156,1,.19171E-2,.28639E-3,0,0.246,SpaceX-E
STARLINK-1009,2019-074C,2023-06-05T04:25:42.000096,15.06412380,.0001077,53.0547,33.9778,88.6157,73.9572,0,C,44715,156,1,.18574E-2,.27752E-3,0,0.249,SpaceX-E
STARLINK-1010,2019-074D,2023-06-05T03:19:42.000384,15.06404480,.0001093,53.0540,34.1836,86.5684,87.3049,0,C,44716,156,1,.19417E-2,.29007E-3,0,0.244,SpaceX-E
STARLINK-1011,2019-074E,2023-06-05T04:42:41.999616,15.06396808,.0001181,53.0547,53.9195,110.2703,26.3574,0,C,44717,156,1,.20156E-2,.30105E-3,0,0.245,SpaceX-E
STARLINK-1012,2019-074F,2023-06-05T04:08:41.999712,15.06414428,.000126,53.0554,34.0246,75.3178,83.2181,0,C,44718,156,1,.19663E-2,.29382E-3,0,0.246,SpaceX-E
STARLINK-1013,2019-074G,2023-06-05T04:20:42.000288,15.06406611,.0001145,53.0553,33.9861,85.0824,78.6451,0,C,44719,156,1,.1877E-2,.28041E-3,0,0.248,SpaceX-E
STARLINK-1014,2019-074H,2023-06-05T03:05:41.999712,15.06405010,.0001142,53.0548,34.2110,85.8467,60.4099,0,C,44720,156,1,.19954E-2,.2981E-3,0,0.245,SpaceX-E
STARLINK-1015,2019-074J,2023-06-05T04:33:41.999616,15.06409840,.0001197,53.0551,33.9508,88.0777,84.6396,0,C,44721,156,1,.18133E-2,.27092E-3,0,0.246,SpaceX-E
STARLINK-1017,2019-074L,2023-06-05T03:15:42.000192,15.06397235,.0001092,53.0540,34.1952,110.3579,28.4822,0,C,44723,156,1,.20587E-2,.3075E-3,0,0.244,SpaceX-E
STARLINK-1019,2019-074M,2023-06-05T04:03:41.999904,15.06403920,.0001169,53.0548,34.0470,92.5232,67.1567,0,C,44724,156,1,.19943E-2,.29792E-3,0,0.245,SpaceX-E
STARLINK-1020,2019-074N,2023-06-05T04:15:41.999616,15.06404631,.0001228,53.0549,54.0025,84.2493,90.6442,0,C,44725,156,1,.19667E-2,.29381E-3,0,0.250,SpaceX-E
STARLINK-1021,2019-074P,2023-06-05T03:59:41.999712,15.06409324,.0001109,53.0545,34.0598,74.1795,90.4022,0,C,44726,156,1,.18946E-2,.28306E-3,0,0.244,SpaceX-E
STARLINK-1022,2019-074Q,2023-06-05T03:14:41.999712,15.76730635,.0000724,53.0534,47.9329,98.1304,348.2521,0,C,44727,156,1,-.52966E-4,-.8685E-4,0,0.537,SpaceX-E
STARLINK-1024,2019-074S,2023-06-05T04:08:41.999712,15.46826187,.0008485,53.0209,356.1702,117.3449,277.0121,0,C,44729,156,1,.21261E-2,.109235E-2,0,0.262,SpaceX-E
STARLINK-1026,2019-074U,2023-06-04T19:03:41.999904,15.06397424,.0001382,53.0550,35.7235,81.3723,163.5126,0,C,44731,155,1,.1156E-2,.17261E-3,0,0.248,SpaceX-E
STARLINK-1027,2019-074V,2023-06-05T03:56:42.000000,15.06404399,.0001226,53.0551,54.0628,77.5052,85.7883,0,C,44732,156,1,.19641E-2,.29342E-3,0,0.249,SpaceX-E
STARLINK-1028,2019-074W,2023-06-05T03:53:42.000288,15.06406526,.0000731,53.0548,34.0757,100.2320,61.7331,0,C,44733,156,1,.24496E-2,.36604E-3,0,0.244,SpaceX-E
STARLINK-1029,2019-074X,2023-06-05T04:31:42.000384,15.06440877,.0000619,53.0543,313.9578,90.4182,134.7539,0,C,44734,156,1,-.14954E-2,-.2233E-3,0,0.759,SpaceX-E
STARLINK-1030,2019-074Y,2023-06-05T04:01:41.999808,15.06401217,.0001159,53.0550,54.0518,87.6956,54.4411,0,C,44735,156,1,.20421E-2,.30505E-3,0,0.250,SpaceX-E
STARLINK-1031,2019-074Z,2023-06-05T04:26:41.999712,15.06417747,.0001263,53.0547,53.9693,82.9738,73.3014,0,C,44736,156,1,.19604E-2,.29298E-3,0,0.246,SpaceX-E
STARLINK-1032,2019-074AA,2023-06-05T04:41:42.000000,15.06396870,.0001064,53.0544,53.9238,110.0816,42.7926,0,C,44737,156,1,.19806E-2,.29582E-3,0,0.244,SpaceX-E
STARLINK-1033,2019-074AB,2023-06-04T19:35:41.999712,15.68910881,.0000805,53.0554,44.1603,96.3580,319.3764,0,C,44738,155,1,.38596E-2,.46207E-2,0,0.394,SpaceX-E
STARLINK-1035,2019-074AD,2023-06-05T04:33:41.999616,15.06396629,.000083,53.0544,53.9480,115.3849,27.3461,0,C,44740,156,1,.19701E-2,.29425E-3,0,0.245,SpaceX-E
STARLINK-1036,2019-074AE,2023-06-05T04:27:42.000192,15.06394232,.0001107,53.0546,53.9663,104.3867,315.7301,0,C,44741,156,1,.20372E-2,.30426E-3,0,0.245,SpaceX-E
